State_Name,Place,Zip_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,Samples,Population,City,County
Delaware,Camden,19966,28579317,1115321,38.558749,-75.29561020000001,753,765,374,770,24601,Millsboro,Sussex
Delaware,Camden,19963,121411466,9588470,38.9003202,-75.32697009999998,1181,1162,293,92,19206,Milford,Sussex
Delaware,Camden,19958,27981008,12716416,38.7762763,-75.1266983,1194,1152,501,599,19650,Lewes,Sussex
Delaware,Laurel,19956,7475958,243075,38.570909,-75.571675,778,604,393,598,15500,Laurel,Sussex
Maryland,Templeville,19953,128379,0,39.136347,-75.767119,1565,1660,335,17,4386,Hartly,Kent
Delaware,Greenwood,19950,1873311,0,38.806845,-75.59066700000001,860,935,322,181,6951,Greenwood,Sussex
Delaware,Georgetown,19947,13315515,0,38.689896999999995,-75.387233,988,983,482,1100,18799,Georgetown,Sussex
Delaware,Camden,19946,66114015,653096,38.972361799999995,-75.4729061,856,849,296,538,4420,Frederica,Kent
Delaware,Camden,19945,108611590,4690215,38.5312188,-75.268874,1026,923,309,257,6862,Frankford,Sussex
Delaware,Camden,19943,147899010,542235,38.99575120000001,-75.62835009999999,986,881,544,222,11425,Felton,Kent
Delaware,Delmar,19940,4630665,0,38.472454,-75.545091,688,706,290,259,5574,Delmar,Sussex
Delaware,Camden,19938,9731942,35860,39.2908408,-75.63750809999999,1052,1010,348,638,8357,Clayton,Kent
Delaware,Rising Sun-Lebanon,19934,9234103,247,39.099911,-75.50635,1161,1158,530,642,12805,Camden Wyoming,Kent
Delaware,Bridgeville,19933,11997551,0,38.724821999999996,-75.602701,629,594,374,265,8535,Bridgeville,Sussex
Delaware,Camden,19904,42318966,33191,39.1834676,-75.60655240000001,1229,1169,458,213,34132,Dover,Kent
Delaware,Dover Base Housing,19901,1914068,6124,39.11707,-75.48405600000001,1465,1416,278,1150,35055,Dover,Kent
Delaware,Camden,19810,3246108,0,39.8176247,-75.48629059999999,1051,905,377,175,25011,Wilmington,New Castle
Delaware,Camden,19809,4346629,1392821,39.7691499,-75.4872896,1216,1192,237,565,14049,Wilmington,New Castle
